0002,"Male Human NPC, Naked"
0003,"Old Model Olthoi, Purple"
0004,"Armadillo, Orangeish"
0005,None
0006,"Cow, Brown"
0007,None
0008,None
0009,None
000A,None
000B,None
000C,None
000D,None
000E,None
000F,None
0010,None
0011,None
0012,None
0013,None
0014,None
0015,None
0016,None
0017,None
0018,None
0019,None
001A,None
001B,None
001C,None
001D,None
001E,None
001F,None
0020,None
0021,None
0022,None
0023,None
0024,None
0025,None
0026,None
0027,None
0028,None
0029,None
002A,None
002B,None
002C,None
002D,None
002E,Auroch
002F,None
0030,None
0031,Old Model Banderling
0032,Old Model Drudge
0033,None
0034,Old Model Drudge
0035,None
0036,beta remoran maybe?
0037,"Gromnie, Blue"
0038,"Old Lugian, Brown Armor"
0039,Reedshark
003A,Mosswart
003B,Red Pynthos Wasp
003C,None
003D,Black Rat
003E,None
003F,None
0040,Tumerok Purple
0041,Virindi
0042,None
0043,None
0044,None
0045,None
0046,None
0047,None
0048,None
0049,None
004A,None
004B,None
004C,None
004D,wood/metal machine
004E,"Female NPC, white, naked"
004F,portal arch
0050,none
0051,None
0052,None
0053,None
0054,"Male Char, Naked"
0055,"Old Golem Model, Brown"
0056,None
0057,None
0058,None
0059,skeleton
005A,None
005B,None
005C,None
005D,None
005E,None
005F,None
0060,None
0061,None
0062,"Male Char, Naked, Arm Bent"
0063,None
0064,None
0065,"Sword, standing up straight"
0066,None
0067,None
0068,None
0069,None
006A,None
006B,None
006C,None
006D,None
006E,None
006F,None
0070,None
0071,None
0072,None
0073,None
0074,None
0075,None
0076,None
0077,None
0078,None
0079,None
007A,None
007B,None
007C,"Chest, halfway open"
007D,None
007E,None
007F,None
0080,None
0081,Chandelier
0082,None
0083,None
0084,None
0085,None
0086,None
0087,None
0088,None
0089,None
008A,None
008B,None
008C,None
008D,None
008E,None
008F,None
0090,None
0091,None
0092,None
0093,None
0094,None
0095,None
0096,None
0097,None
0098,None
0099,None
009A,None
009B,None
009C,None
009D,tall skinny tree
009E,bush
009F,None
00A0,None
00A1,none
00A2,none
00A3,none
00A4,"wooden barrell, open"
00A5,"wooden barrell, closed"
00A6,blue jar
00A7,anvil on wooden base
00A8,forge bellows
00A9,blue liquid component
00AA,blue liquid component
00AB,blue liquid component
00AC,bowl
00AD,"empty bucket, on side"
00AE,"empty keg, on side"
00AF,none
00B0,none
00B1,none
00B2,none
00B3,none
00B4,none
00B5,none
00B6,none
00B7,none
00B8,none
00B9,none
00BA,none
00BB,none
00BC,none
00BD,none
00BE,none
00BF,none
00C0,none
00C1,none
00C2,none
00C3,none
00C4,none
00C5,none
00C6,none
00C7,none
00C8,none
00C9,none
00CA,none
00CB,none
00CC,none
00CD,none
00CE,"coffin, stone, closed"
00CF,none
00D0,none
00D1,cooking? maybe?
00D2,sand? cooking?
00D3,food?
00D4,food?
00D5,none
00D6,"hands, wrists "
00D7,underwear
00D8,gauntlets
00D9,horned helm
00DA,helmet
00DB,coif
00DC,koubaton
00DD,underwear and upper legs
00DE,feet
00DF,leg armor
00E0,hands and lower arms
00E1,underwear and upper torso
00E2,pyreals
00E3,pyreals
00E4,pyreals
00E5,chalice
00E6,cup
00E7,cup
00E8,cup
00E9,cup
00EA,pot
00EB,apple
00EC,cooking?
00ED,food?
00EE,none
00EF,none
00F0,wheel of cheese 1 slice missing
00F1,egg
00F2,fish
00F3,food?
00F4,slice of bread?
00F5,hunk of beef
00F6,hunk of beef
00F7,hunk of beef
00F8,necklace
00F9,bracelet
00FA,"gold bracelet, red stone, black etching"
00FB,"shorter gold bracelet, red stone, black etching"
00FC,circlet?
00FD,crown?
00FE,none
00FF,armor?
0100,"Necklace of some sort, laying flat"
0101,"Gold necklace, red stone, black etchings, hanging down"
0102,"Gold Ring, purple stone, standing up"
0103,Gold pentagram ring? of some sort
0104,Stone Lantern
0105,Candles?
0106,Candle? Butter?
0107,Stone lava sconce
0108,1/2 lava container
0109,Log
010A,"3 logs, firewood"
010B,teapot
010C,lantern
010D,cow horn?
010E,none
010F,"wand, standing up"
0110,"Sceptre, standing up"
0111,"Wand, standing up"
0112,Spike?
0113,None
0114,None
0115,Wall Fountain
0116,"Water Pool, Square"
0117,"Water Pool, Round"
0118,"Well, Water"
